;Feature;Importance
204;bairro_Tribeca;0.01649237249680261
205;bairro_Two Bridges;2.213461548226815e-06
206;bairro_Unionport;0.0
207;bairro_University Heights;3.9138251865545554e-08
208;bairro_Upper East Side;0.006569918901452585
209;bairro_Upper West Side;0.006678287979230247
210;bairro_Van Nest;0.0
211;bairro_Vinegar Hill;0.0
212;bairro_Wakefield;3.979597519892225e-07
213;bairro_Washington Heights;2.368969620699627e-05
214;bairro_West Brighton;1.6074670088799917e-07
215;bairro_West Farms;0.0
216;bairro_West Village;0.002564590209950419
217;bairro_Westchester Square;9.099487732306091e-06
218;bairro_Westerleigh;0.0
219;bairro_Whitestone;1.440964304734213e-06
220;bairro_Williamsbridge;1.7055478264923384e-05
221;bairro_Williamsburg;0.0006524802654944269
222;bairro_Willowbrook;0.0
223;bairro_Windsor Terrace;4.352365660866703e-05
224;bairro_Woodhaven;1.1833107506615594e-06
225;bairro_Woodlawn;0.0
226;bairro_Woodside;7.824634163415411e-06
227;room_type_Private room;0.1224595521765099
228;room_type_Shared room;0.017803054552221004
229;ultima_review_2011-05-12;0.0
230;ultima_review_2011-09-18;0.0
231;ultima_review_2011-09-19;0.0
232;ultima_review_2012-01-03;0.0
233;ultima_review_2012-06-07;0.0
234;ultima_review_2012-07-11;0.0
235;ultima_review_2012-08-10;0.0
236;ultima_review_2012-08-22;0.0
237;ultima_review_2012-09-03;0.0
238;ultima_review_2012-09-17;0.0
239;ultima_review_2012-09-18;0.0
240;ultima_review_2012-09-23;0.0
241;ultima_review_2012-11-01;0.0
242;ultima_review_2012-11-10;0.0
243;ultima_review_2012-12-12;0.0
244;ultima_review_2012-12-25;0.0
245;ultima_review_2012-12-30;0.0
246;ultima_review_2013-01-01;0.0
247;ultima_review_2013-03-08;0.0
248;ultima_review_2013-03-31;0.0
249;ultima_review_2013-04-09;0.0
250;ultima_review_2013-04-21;0.0
251;ultima_review_2013-05-02;0.0
252;ultima_review_2013-05-06;0.0
253;ultima_review_2013-05-10;0.0
